trial,execution_seconds,char_comparisons,hash_operations,token_checks,matches,true_positives,false_positives
1,1.587474,100504073,0,0,69077,5499,63578
2,1.735353,100504073,0,0,69077,5499,63578
3,1.611050,100504073,0,0,69077,5499,63578
4,1.571799,100504073,0,0,69077,5499,63578
5,1.544331,100504073,0,0,69077,5499,63578
