trial,execution_seconds,char_comparisons,hash_operations,token_checks,matches,true_positives,false_positives
1,0.416867,25755607,0,0,0,0,0
2,0.411798,25755607,0,0,0,0,0
3,0.302169,25755607,0,0,0,0,0
4,0.339114,25755607,0,0,0,0,0
5,0.341612,25755607,0,0,0,0,0
