trial,execution_seconds,char_comparisons,hash_operations,token_checks,matches,true_positives,false_positives
1,0.070144,4028655,0,0,2979,0,2979
2,0.062966,4028655,0,0,2979,0,2979
3,0.064601,4028655,0,0,2979,0,2979
4,0.062507,4028655,0,0,2979,0,2979
5,0.062367,4028655,0,0,2979,0,2979
