trial,execution_seconds,char_comparisons,hash_operations,token_checks,matches,true_positives,false_positives
1,0.840982,17874,14528090,0,2979,0,2979
2,0.847525,17874,14528090,0,2979,0,2979
3,0.766643,17874,14528090,0,2979,0,2979
4,0.597297,17874,14528090,0,2979,0,2979
5,0.626636,17874,14528090,0,2979,0,2979
