trial,execution_seconds,char_comparisons,hash_operations,token_checks,matches,true_positives,false_positives
1,5.480943,471449960,0,0,85497,165,85332
2,5.412527,471449960,0,0,85497,165,85332
3,5.280501,471449960,0,0,85497,165,85332
4,4.814546,471449960,0,0,85497,165,85332
5,5.236824,471449960,0,0,85497,165,85332
