trial,execution_seconds,char_comparisons,hash_operations,token_checks,matches,true_positives,false_positives
1,11.605954,495,258518448,0,165,165,0
2,10.864292,495,258518448,0,165,165,0
3,11.035859,495,258518448,0,165,165,0
4,10.437195,495,258518448,0,165,165,0
5,9.261211,495,258518448,0,165,165,0
