trial,execution_seconds,char_comparisons,hash_operations,token_checks,matches,true_positives,false_positives
1,0.234799,8739354,0,0,0,0,0
2,0.161099,8739354,0,0,0,0,0
3,0.166080,8739354,0,0,0,0,0
4,0.163442,8739354,0,0,0,0,0
5,0.238796,8739354,0,0,0,0,0
